column,count,null_count,bool_count,numeric_count,max,mean,min,stddev,nunique_numbers,nunique_numbers_lower,nunique_numbers_upper,inferred_dtype,dtype_fraction,type_unknown_count,type_null_count,type_fractional_count,type_integral_count,type_boolean_count,type_string_count,nunique_str,nunique_str_lower,ununique_str_upper,quantile_0.0000,quantile_0.0100,quantile_0.0500,quantile_0.2500,quantile_0.5000,quantile_0.7500,quantile_0.9500,quantile_0.9900,quantile_1.0000
inq_last_6mths,99999.0,0.0,0.0,99999.0,5.0,0.5857458574585745,0.0,0.8757285877847121,6.0,6.0,6.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0
tot_cur_bal,99999.0,0.0,0.0,99999.0,3608951.0,142164.48376483764,0.0,157619.39547701975,83091.57664380247,81824.71568627658,84377.87815529059,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3886.0,9791.0,31623.0,81697.0,210189.0,436668.0,721173.0,3608951.0
mths_since_rcnt_il,99999.0,0.0,0.0,20810.0,363.0,20.91268620855358,0.0,27.209081261092894,201.0,201.0,201.0,1.0,0.7918979189791898,0.0,79189.0,20810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,12.0,23.0,87.0,138.0,363.0
next_pymnt_d,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8789187891878919,0.0,87891.0,0.0,0.0,0.0,12108.0,3.0,3.0,3.0,,,,,,,,,
open_il_12m,99999.0,0.0,0.0,21372.0,12.0,0.7616507580011229,0.0,0.9960346479644245,12.0,12.0,12.0,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,12.0
delinq_2yrs,99999.0,0.0,0.0,99999.0,30.0,0.34976349763497633,0.0,0.9227696078340375,19.0,19.0,19.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,30.0
num_actv_bc_tl,99999.0,0.0,0.0,99999.0,29.0,3.7067070670706705,0.0,2.3282565432683233,28.0,28.0,28.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,8.0,11.0,29.0
debt_settlement_flag_date,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9705097050970509,0.0,97050.0,0.0,0.0,0.0,2949.0,33.0,33.0,33.0,,,,,,,,,
num_rev_accts,99999.0,0.0,0.0,99998.0,118.0,14.635422708454168,2.0,8.278884722883264,80.0,80.0,80.0,2.0,0.999989999899999,0.0,1.0,99998.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,9.0,13.0,19.0,31.0,42.0,118.0
revol_util,99999.0,0.0,0.0,99962.0,152.5,52.4987355194982,0.0,24.13460720034472,1122.0,1122.0,1122.0,2.0,0.999629996299963,0.0,37.0,99962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799999952316284,12.800000190734863,34.29999923706055,52.5,71.0,92.9000015258789,98.9000015258789,152.5
